Year,Production,Imports,Exports,Estimated consumption,Unit value ($/t),Unit value (98$/t),World production (gross weight),World production (lithium content),World production (lithium carbonate equivalent)
1964,W,490,NA,"2,190","1,170","6,160","64,000",NA,NA
1965,W,204,NA,"2,300",992,"5,110","68,500",NA,NA
1966,W,177,NA,"2,400","1,060","5,330","3,450",NA,NA
1967,W,474,NA,"2,510",970,"4,730","7,590",NA,NA
1968,W,218,NA,"2,610",992,"4,660","63,700",NA,NA
1969,W,117,NA,"2,720","1,010","4,490","68,000",NA,NA
1970,W,57.2,NA,"2,820","1,150","4,830","73,100",NA,NA
1971,W,118,590,"2,860","1,120","4,510","73,400",NA,NA
1972,W,27.2,581,"2,980","1,160","4,520","19,700",NA,NA
1973,W,118,835,"3,490","1,220","4,480","79,300",NA,NA
1974,W,63.5,907,"4,130","1,740","5,750","113,000",NA,NA
1975,W,81.6,816,"2,620","1,720","5,210","122,000",NA,NA
1976,W,9.07,"1,450","2,540","1,830","5,240","75,000",NA,NA
1977,W,9.07,"1,630","3,720","1,940","5,220","74,300",NA,NA
1978,W,9.07,"1,810","3,080","2,110","5,270","81,900",NA,NA
1979,W,45.4,"2,180","2,900","2,260","5,080","76,000",NA,NA
1980,W,81.6,"2,270","2,720","2,660","5,260","92,800",NA,NA
1981,W,136,"2,360","2,900","3,110","5,570","90,200",NA,NA
1982,W,27.2,"2,090","1,810","3,110","5,250","83,600",NA,NA
1983,W,31.8,"2,360","2,000","3,260","5,340","93,700",NA,NA
1984,W,81.6,"2,630","2,900","3,400","5,340","108,000",NA,NA
1985,W,370,"2,300","2,300","3,310","5,020","122,000",NA,NA
1986,W,610,"1,800","2,400","3,310","4,920","132,000",NA,NA
1987,W,820,"1,800","2,400","3,420","4,910","139,000",NA,NA
1988,W,"1,000","2,300","2,700","3,590","4,950","154,000",NA,NA
1989,W,630,"2,600","2,700","3,810","5,010","173,000",NA,NA
1990,W,790,"2,600","2,700","4,030","5,030","163,000","5,400",NA
1991,W,590,"2,400","2,600","4,210","5,040","149,000","5,000",NA
1992,W,770,"2,100","2,300","4,320","5,020","156,000","5,700",NA
1993,W,810,"1,700","2,300","4,210","4,750","127,000","5,900",NA
1994,W,851,"1,700","2,500","4,410","4,850","128,000","6,100",NA
1995,W,"2,640","1,900","2,600","4,340","4,640","177,000","6,300",NA
1996,W,884,"2,200","2,700","4,340","4,510","214,000","11,000",NA
1997,W,975,"1,880","2,800","4,480","4,550","213,000","14,000",NA
1998,W,"2,590","1,340","2,800","4,480","4,480","178,000","15,000",NA
1999,W,"2,640","1,330","2,800","4,470","4,360","188,000","14,000",NA
2000,W,"2,880","1,310","2,800","4,470","4,230","204,000","14,100","75,100"
2001,W,"1,990","1,480","1,400","1,490","1,370","210,000","13,100","69,700"
2002,W,"1,920","1,620","1,100","1,590","1,440","217,000","14,100","74,900"
2003,W,"2,200","1,520","1,400","1,550","1,370","256,000","16,600","88,300"
2004,W,"2,910","1,690","1,900","1,720","1,480","261,000","17,700","94,200"
2005,W,"3,580","1,720","2,500","1,460","1,220","341,000","20,300","108,000"
2006,W,"3,260","1,500","2,500","2,320","1,880","389,000","22,400","119,000"
2007,W,"3,140","1,440","2,400","3,530","2,770","374,000","23,300","124,000"
2008,W,"3,160","1,450","2,300","4,440","3,360","445,000","24,700","131,000"
2009,W,"1,890",919,"1,300","4,530","3,440","363,000","17,500","93,400"
2010,W,"1,960","1,410","1,100","4,350","3,250","475,000","24,400","130,000"
2011,W,"2,850","1,310","2,000","3,870","2,800","610,000","31,000","165,000"
2012,W,"2,760","1,300","2,000","4,220","3,000","637,000","32,700","174,000"
2013,W,"2,210","1,230","1,800","4,390","3,070","578,000","30,300","161,000"
2014,W,"2,120","1,420","2,000","4,510","3,110","616,000","31,600","168,000"
2015,W,"2,750","1,790","2,000","4,540","3,120","612,000","32,200","172,000"
2016,W,"3,140","1,520","3,000","4,920","3,340","736,000","40,200","214,000"
2017,W,"3,330","1,960","3,000","4,900","3,260","1,950,000","76,400","406,000"
2018,W,"3,420","1,660","3,000","7,300","4,740","2,470,000","91,800","489,000"
2019,W,"2,620","1,660","2,000","8,030","5,120","1,950,000","83,800","446,000"
2020,W,"2,460","1,200","2,000",10100,"4,030","1,750,000","82,700","440,000"
2021,W,"2,640","1,870","2,000",14200,"3,730","2,400,000","107,000","569,000"
2022,,,,,71100,,,"146,000",
2023,,,,,41300,,,"204,000",
