Year,Primary production,Secondary production,Mine shipments,Government shipments,Imports,Exports,Stocks,Reported consumption,Apparent consumption,Unit value ($/t),Unit value (98$/t),World mine production,World refinery production
1981,0,441,0,"-1,060","7,070",378,"3,800","5,300","5,680","36,900","66,100","30,700","25,800"
1982,0,395,0,"-1,300","5,840",270,"3,390","4,290","5,070","25,300","42,700","24,600","19,300"
1983,0,328,0,-120,"7,810",374,"4,050","5,130","6,980","14,900","24,300","37,900","18,100"
1984,0,399,0,"-2,450","11,500",304,"5,110","5,870","8,060","19,000","29,800","40,900","23,700"
1985,0,408,0,-721,"8,030",292,"5,480","5,620","7,060","23,800","36,100","47,400","27,500"
1986,0,"1,200",0,0,"5,570",454,"4,060","6,480","7,740","16,200","24,100","50,200","31,400"
1987,0,"1,030",0,0,"8,830",366,"5,560","6,670","7,990","14,700","21,100","41,200","28,000"
1988,0,"1,020",0,0,"7,050",543,"5,260","7,230","7,830","16,200","22,300","43,800","26,400"
1989,0,"1,180",0,0,"5,790",889,"4,550","7,030","6,800","17,300","22,700","42,900","26,400"
1990,0,"1,230",0,-108,"6,530","1,340","3,220","7,560","7,640","18,200","22,700","42,300","27,300"
1991,0,"1,580",0,0,"6,920","1,540","2,400","7,220","7,790","25,100","30,100","33,300","25,200"
1992,0,"1,620",0,0,"5,760","1,420","1,760","6,400","6,590","47,400","55,100","28,000","21,500"
1993,0,"1,610",0,289,"5,940",795,"1,460","6,480","7,350","31,300","35,300","21,900","16,600"
1994,0,"1,840",0,"1,500","6,780","1,360","1,490","7,500","8,730","42,200","46,400","18,000","20,000"
1995,0,"1,870",0,"1,550","6,440","1,300","1,080","7,590","8,970","58,300","62,400","24,500","23,300"
1996,0,"2,280",0,"2,050","6,710","1,660","1,070","7,990","9,380","56,400","58,600","26,200","25,600"
1997,0,"2,750",0,"1,620","8,430","1,570","1,090","9,160","11,200","46,300","47,000","27,400","27,100"
1998,0,"3,080",0,"2,310","7,670","1,680","1,000","9,380","11,500","44,200","44,200","36,300","31,400"
1999,0,"2,700",0,"1,530","8,150","1,550","1,160","8,660","10,700","33,700","33,000","33,900","33,100"
2000,0,"2,590",0,"2,960","8,770","2,630","1,120","8,980","11,700","29,700","28,100","39,000","36,000"
2001,0,"2,810",0,"3,050","9,410","3,210","1,330","9,540","11,800","23,300","21,500","46,000","38,700"
2002,0,"2,750",0,524,"8,450","2,080","1,140","8,270","9,830","17,100","15,500","53,400","40,800"
2003,0,"2,130",0,"2,380","8,080","2,710","1,010","8,030","10,000","20,600","18,200","54,600","43,200"
2004,0,"2,300",0,"1,630","8,720","2,500","1,210","8,990","9,950","43,400","37,400","60,300","48,500"
2005,0,"2,030",0,"1,110","11,100","2,440","1,190","9,150","11,800","33,600","28,100","65,200","54,100"
2006,0,"2,010",0,260,"11,600","2,850","1,180","9,280","11,000","30,700","24,800","70,000","53,800"
2007,0,"1,930",0,617,"10,300","3,100","1,310","9,320","9,630","54,600","42,900","73,700","53,500"
2008,0,"1,930",0,203,"10,700","2,850","1,160","8,910","10,100","68,400","51,800","79,900","57,600"
2009,0,"1,790",0,180,"7,680","2,440",780,"7,640","7,580","34,200","26,000","81,200","62,100"
2010,0,"2,000",0,-8,"11,100","2,640",903,"8,130","10,300","39,700","29,700","110,000","79,500"
2011,0,"2,210",0,0,"10,600","3,320","1,080","9,180","9,300","36,100","26,200","102,000","82,400"
2012,0,"2,160",0,0,"11,100","3,760","1,030","8,730","9,540","30,500","21,600","96,800","77,900"
2013,0,"2,160",0,0,"10,400","3,850","1,110","8,170","8,660","27,900","19,500","103,000","86,700"
2014,120,"2,200",NA,0,"11,300","4,500","1,420","8,650","8,710","30,600","21,100","115,000","92,600"
2015,760,"2,750",NA,0,"11,400","3,830","1,240","8,830","10,300","29,200","20,100","122,000","99,800"
2016,690,"2,750",NA,0,"12,800","4,160","1,160","9,010","11,500","25,500","17,300","115,000","96,700"
2017,640,"2,750",NA,0,"11,900","5,690","1,180","9,240","8,950","48,400","32,200","128,000","119,000"
2018,480,"2,750",NA,0,"11,900","6,980","1,190","9,290","7,680","63,800","41,400","149,000","126,000"
2019,500,"2,750",NA,0,"13,900","4,080","1,200","9,050","12,500","37,900","24,100","155,000","139,000"
2020,600,"2,010",NA,0,"9,740","3,440","1,030","7,260","8,480","34,500","21,800","147,000","147,000"
2021,,,,,,,,,,"53,373",,"165,000",
2022,,,,,,,,,,"67,858",,"197,000",
2023,,,,,,,,,,"37,919",,"238,000",
