Year, Production,Imports,Exports,Stocks                       ,Reported consumption Mn ore,Reported consumption Mn alloys,Apparent consumption,Unit value ($/t),Unit value (98$/t),World production
1973,"28,100","960,000","36,300","5,140,000","929,000","927,000","1,410,000",97,358,"9,740,000"
1974,"31,800","879,000","103,000","4,590,000","825,000","936,000","1,350,000",160,529,"9,270,000"
1975,"17,200","1,010,000","119,000","4,470,000","803,000","748,000","1,030,000",211,640,"9,810,000"
1976,"28,100","1,020,000","67,100","4,220,000","716,000","759,000","1,240,000",246,706,"10,000,000"
1977,"24,500","848,000","70,800","3,640,000","602,000","746,000","1,380,000",269,722,"8,690,000"
1978,"34,500","800,000","106,000","3,130,000","590,000","828,000","1,280,000",288,720,"8,690,000"
1979,"28,100","864,000","53,500","2,840,000","607,000","825,000","1,130,000",318,715,"9,800,000"
1980,"20,900","780,000","47,200","2,730,000","459,000","680,000","933,000",354,700,"9,670,000"
1981,"21,800","831,000","44,500","2,610,000","460,000","701,000","932,000",361,647,"8,400,000"
1982,"3,630","490,000","24,500","2,470,000","258,000","393,000","610,000",444,750,"8,580,000"
1983,"3,630","492,000","24,500","2,450,000","233,000","384,000","606,000",363,594,"7,780,000"
1984,"9,980","550,000","39,000","2,370,000","272,000","437,000","569,000",403,633,"8,600,000"
1985,"1,810","552,000","39,900","2,260,000","241,000","416,000","633,000",394,596,"8,690,000"
1986,907,"625,000","29,900","2,190,000","221,000","351,000","662,000",375,557,"8,830,000"
1987,"1,810","547,000","42,600","2,060,000","231,000","383,000","634,000",394,565,"8,340,000"
1988,907,"765,000","48,100","2,100,000","244,000","425,000","682,000",487,670,"8,650,000"
1989,907,"777,000","41,700","2,110,000","261,000","397,000","723,000",607,798,"9,250,000"
1990,907,"611,000","54,400","2,040,000","241,000","411,000","630,000",688,858,"9,080,000"
1991,0,"565,000","52,000","1,950,000","237,000","362,000","598,000",807,966,"7,600,000"
1992,0,"554,000","32,000","1,880,000","214,000","366,000","596,000",654,760,"7,260,000"
1993,0,"624,000","37,000","1,770,000","195,000","365,000","696,000",605,682,"7,070,000"
1994,0,"644,000","30,500","1,690,000","219,000","372,000","694,000",602,662,"6,530,000"
1995,0,"657,000","32,400","1,640,000","231,000","384,000","676,000",599,641,"7,970,000"
1996,0,"765,000","40,400","1,590,000","231,000","368,000","776,000",650,675,"8,180,000"
1997,0,"626,000","66,700","1,540,000","222,000","373,000","643,000",635,645,"7,520,000"
1998,0,"692,000","32,800","1,460,000","240,000","343,000","776,000",591,591,"7,330,000"
1999,0,"711,000","29,900","1,420,000","233,000","331,000","719,000",535,523,"6,390,000"
2000,0,"764,000","27,200","1,380,000","238,000","328,000","768,000",582,551,"6,960,000"
2001,0,"620,000","26,500","1,280,000","236,000","289,000","692,000",529,487,"7,580,000"
2002,0,"641,000","17,800","1,220,000","181,000","277,000","696,000",471,427,"7,800,000"
2003,0,"593,000","22,900","1,150,000","201,000","276,000","643,000",599,531,"8,790,000"
2004,0,"885,000","74,200","920,000","228,000","341,000","1,030,000","1,090",941,"9,900,000"
2005,0,"805,000","25,000","873,000","187,000","305,000","773,000",712,594,"11,000,000"
2006,0,"869,000","26,300","697,000","172,000","314,000","1,060,000",800,647,"11,500,000"
2007,0,"878,000","48,400","490,000","174,000","303,000","979,000","1,190",936,"12,000,000"
2008,0,"930,000","65,500","516,000","235,000","347,000","844,000","2,380","1,802","13,400,000"
2009,0,"391,000","55,800","408,000","242,000","276,000","451,000","1,370","1,041","11,300,000"
2010,0,"757,000","37,300","407,000","234,000","311,000","721,000","1,500","1,121","14,700,000"
2011,0,"824,000","19,700","509,000","257,000","327,000","699,000","1,460","1,058","15,400,000"
2012,0,"829,000","17,100","477,000","241,000","418,000","843,000","1,400",994,"16,200,000"
2013,0,"800,000","11,400","465,000","262,000","402,000","794,000","1,190",832,"17,200,000"
2014,0,"812,000","12,900","432,000","254,000","391,000","834,000","1,330",916,"18,300,000"
2015,0,"681,000","12,500","491,000","226,000","372,000","697,000","1,140",784,"15,300,000"
2016,0,"515,000","16,000","450,000","205,000","371,000","540,000",920,625,"14,900,000"
2017,0,"695,000","20,900","409,000","189,000","375,000","715,000","1,420",944,"18,700,000"
2018,0,"843,000","21,300","434,000","185,000","376,000","796,000","1,500",974,"19,600,000"
2019,0,"776,000","19,300","444,000","221,000","369,000","748,000","1,300",829,"20,700,000"
2020,0,"566,000","15,900","373,000","189,000","416,000","621,000","1,110",699,"19,500,000"
2021,0,"767,000","22,300","400,000","200,000","429,000","717,000","1,420",857,"20,200,000"
2022,0,"865,000","13,000","213,000","178,000","431,000","804,000","2,000","1,110","20,100,000"
,,,,,,,,,,
